PuzzleId,Rating,FEN,Moves,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
3Dp9R,399,8/4rrk1/8/Q3p2p/6p1/2P1R3/PP4PP/5R1K b - - 0 36,f7f1,114,90,390,backRankMate endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/LbTxxdzg#71,
5lROg,399,6k1/Q4ppp/1p6/2b5/5p2/1P2r3/P5PP/4R2K b - - 0 34,e3e1,98,100,133,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/fn8gDx6o#67,
bfWI9,399,5r1k/1p4pp/p7/3Pr1P1/P1p1P2P/2N5/1PB2RK1/4q3 w - - 0 29,f2f8,98,67,144,backRankMate endgame master mate mateIn1 oneMove,https://lichess.org/JZ6KcMA1/black#56,
gNJRp,399,r2n1k1r/1b1Q1pp1/pp1N2qp/2p5/P7/2P4P/1P1P1PP1/R1B1R1K1 b - - 2 20,g6g2,106,83,191,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/IzIMnp9O#39,
hVAbS,399,2r4k/6pp/4R3/8/1p5q/5P2/1P4P1/4R1K1 w - - 0 38,e6e8 c8e8 e1e8,112,96,605,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/wrZX73gz/black#74,
wtIc3,399,r1b3k1/p4ppp/2p1p3/2P5/8/4B3/PP3PPP/3R2K1 w - - 0 21,d1d8,109,99,825,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/PjFpQ6NX/black#40,
dxzRZ,399,1r6/3nppkp/6p1/p1pPp3/2P1P3/P1Q5/5PPP/1N4K1 b - - 0 28,b8b1 c3c1 b1c1,104,100,289,backRankMate endgame mate mateIn2 short,https://lichess.org/cdNwMtxP#55,
bEJvU,399,1r4k1/p1R5/3p3p/3P2p1/5p2/8/P4PPP/6K1 b - - 0 25,b8b1 c7c1 b1c1,101,68,127,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/DaNB2OfU#49,
dYQGE,399,7k/1b2r1np/p2p4/1p6/2nPPR2/3N2PP/PP4B1/6K1 w - - 0 34,f4f8,95,81,147,backRankMate master mate mateIn1 middlegame oneMove,https://lichess.org/LmMegD4C/black#66,
JT9Jg,399,5k2/1p3ppp/6r1/4R3/8/2P4q/PP3PP1/4R1K1 w - - 0 29,e5e8,111,93,700,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/vmwHMf9n/black#56,
i302V,399,2r5/4k1p1/4pp2/3b3Q/p4PP1/P7/1P5P/K1R5 b - - 0 47,c8c1,101,86,112,endgame mate mateIn1 oneMove,https://lichess.org/ffuNcLKq#93,
PS5QM,399,r2q3k/5pp1/pp2p3/4Q3/1P2N3/P7/5PPP/3R2K1 b - - 0 28,d8d1,90,86,144,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/15Uu6CH7#55,
1qROQ,399,1r4k1/5pbp/4pBp1/4P3/7N/8/6PP/1Q5K b - - 0 37,b8b1,93,77,176,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/nTrtzbEe#73,
WVgqk,399,4n1k1/ppp2rpp/1b6/8/3P4/2P5/PP4PP/RNB4K b - - 0 18,f7f1,118,89,378,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/m74kGl4p#35,Italian_Game Italian_Game_Two_Knights_Defense
hVaq5,399,r4rk1/2b2ppp/1p1qp1b1/2Pp4/8/2Q1P2P/P2NBPP1/R1B2RK1 b - - 0 18,d6h2,106,96,282,mate mateIn1 middlegame oneMove,https://lichess.org/ou6UQLzw#35,Slav_Defense Slav_Defense_Three_Knights_Variation
AoZu8,399,r4rk1/pp3ppp/4bq2/3p4/1n1P1PP1/3Q4/P1B4P/R1B2RK1 w - - 0 18,d3h7,103,94,448,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/nLceUrod/black#34,Englund_Gambit_Declined Englund_Gambit_Declined_Reversed_French
